"Tỉnh, thành phố","Tổng số 1995","Tổng số 1996","Tổng số 1997","Tổng số 1998","Tổng số 1999","Tổng số 2000","Tổng số 2001","Tổng số 2002","Tổng số 2003","Tổng số 2004","Tổng số 2005","Tổng số 2006","Tổng số 2007","Tổng số 2008","Tổng số 2009","Tổng số 2010","Tổng số 2011","Tổng số 2012","Tổng số 2013","Tổng số 2014","Tổng số 2015","Tổng số 2016","Tổng số 2017","Tổng số 2018","Tổng số Sơ bộ 2019","Nam 1995","Nam 1996","Nam 1997","Nam 1998","Nam 1999","Nam 2000","Nam 2001","Nam 2002","Nam 2003","Nam 2004","Nam 2005","Nam 2006","Nam 2007","Nam 2008","Nam 2009","Nam 2010","Nam 2011","Nam 2012","Nam 2013","Nam 2014","Nam 2015","Nam 2016","Nam 2017","Nam 2018","Nam Sơ bộ 2019","Nữ 1995","Nữ 1996","Nữ 1997","Nữ 1998","Nữ 1999","Nữ 2000","Nữ 2001","Nữ 2002","Nữ 2003","Nữ 2004","Nữ 2005","Nữ 2006","Nữ 2007","Nữ 2008","Nữ 2009","Nữ 2010","Nữ 2011","Nữ 2012","Nữ 2013","Nữ 2014","Nữ 2015","Nữ 2016","Nữ 2017","Nữ 2018","Nữ Sơ bộ 2019","Thành thị 1995","Thành thị 1996","Thành thị 1997","Thành thị 1998","Thành thị 1999","Thành thị 2000","Thành thị 2001","Thành thị 2002","Thành thị 2003","Thành thị 2004","Thành thị 2005","Thành thị 2006","Thành thị 2007","Thành thị 2008","Thành thị 2009","Thành thị 2010","Thành thị 2011","Thành thị 2012","Thành thị 2013","Thành thị 2014","Thành thị 2015","Thành thị 2016","Thành thị 2017","Thành thị 2018","Thành thị Sơ bộ 2019","Nông thôn 1995","Nông thôn 1996","Nông thôn 1997","Nông thôn 1998","Nông thôn 1999","Nông thôn 2000","Nông thôn 2001","Nông thôn 2002","Nông thôn 2003","Nông thôn 2004","Nông thôn 2005","Nông thôn 2006","Nông thôn 2007","Nông thôn 2008","Nông thôn 2009","Nông thôn 2010","Nông thôn 2011","Nông thôn 2012","Nông thôn 2013","Nông thôn 2014","Nông thôn 2015","Nông thôn 2016","Nông thôn 2017","Nông thôn 2018","Nông thôn Sơ bộ 2019"
"CẢ NƯỚC",71995.5,73156.7,74306.9,75456.3,76596.7,77630.9,78620.5,79537.7,80467.4,81436.4,82392.1,83311.2,84218.5,85118.7,86025.0,86947.4,87860.4,88809.3,89759.5,90728.9,92228.6,93250.7,94286.0,95385.2,96484.0,35237.4,35857.3,36473.1,37089.7,37662.1,38165.3,38656.4,39112.2,39535.0,40042.0,40521.5,40999.0,41447.3,41956.1,42523.4,42993.5,43446.8,43908.2,44364.9,44758.1,45753.8,46294.7,46848.0,47427.1,48017.7,36758.1,37299.4,37833.8,38366.6,38934.6,39465.6,39964.1,40425.5,40932.4,41394.4,41870.6,42312.2,42771.2,43162.6,43501.6,43953.9,44413.6,44901.1,45394.6,45970.8,46474.8,46956.0,47438.0,47958.1,48466.3,14938.1,15419.9,16835.4,17464.6,18081.6,18725.4,19299.1,19873.2,20725.0,21601.2,22332.0,23045.8,23746.3,24673.1,25584.7,26515.9,27719.3,28269.2,28874.9,30035.4,30881.9,31397.0,31928.3,32636.9,33816.6,57057.4,57736.8,57471.5,57991.7,58515.1,58905.5,59321.4,59664.5,59742.4,59835.2,60060.1,60265.4,60472.2,60445.6,60440.3,60431.5,60141.1,60540.1,60884.6,60693.5,61346.7,61853.7,62357.7,62748.3,62667.4
"Ðồng bằng sông Hồng",17078.4,17289.8,17494.8,17692.9,17877.8,18060.7,18249.9,18432.9,18617.5,18807.9,18976.7,19108.9,19228.8,19473.7,19618.1,19851.9,20066.1,20274.9,20481.9,20705.2,21368.4,21669.2,21968.6,22290.7,22620.2,8300.1,8416.9,8530.3,8645.4,8743.4,8840.5,8934.4,9026.6,9116.3,9213.1,9308.2,9369.0,9432.0,9544.7,9649.9,9760.2,9907.1,9962.3,10089.5,10149.6,10554.0,10710.8,10870.9,11036.4,11214.5,8778.3,8872.9,8964.5,9047.5,9134.4,9220.2,9315.5,9406.3,9501.2,9594.8,9668.5,9739.9,9796.8,9929.0,9968.2,10091.7,10159.1,10312.6,10392.4,10555.6,10814.4,10958.4,11097.7,11254.4,11405.7,3093.2,3229.7,3536.0,3690.1,3800.4,3923.8,4048.4,4224.9,4428.1,4764.9,4917.0,5041.6,5206.6,5584.4,5752.4,6050.4,6141.7,6339.0,6341.7,6735.6,7254.2,7411.7,7569.2,7773.5,8130.3,13985.2,14060.1,13958.8,14002.8,14077.4,14136.9,14201.5,14208.0,14189.4,14043.0,14059.7,14067.3,14022.2,13889.3,13865.7,13801.5,13924.5,13935.9,14140.2,13969.6,14114.1,14257.5,14399.4,14517.3,14489.9
"Hà Nội",2431.0,2492.9,2556.0,2621.5,2685.0,2767.7,2852.9,2928.3,3000.3,3071.4,3133.4,3184.8,3228.5,6381.8,6472.0,6633.6,6761.3,6865.2,6977.0,7095.9,7433.6,7590.8,7742.2,7914.5,8093.9,1213.4,1245.6,1278.1,1312.4,1343.8,1384.5,1427.1,1464.9,1500.5,1539.5,1568.0,1596.6,1618.3,3124.9,3180.0,3247.8,3342.8,3351.7,3424.2,3457.0,3672.2,3753.2,3831.5,3920.3,4012.7,1217.6,1247.3,1277.9,1309.1,1341.2,1383.2,1425.8,1463.4,1499.8,1531.9,1565.4,1588.2,1610.2,3256.9,3292.0,3385.8,3418.5,3513.4,3552.8,3638.9,3761.4,3837.6,3910.7,3994.2,4081.2,1274.9,1343.1,1455.8,1496.4,1552.1,1603.0,1650.0,1719.5,1830.2,1992.3,2046.1,2077.5,2106.5,2596.2,2652.8,2827.9,2864.8,2908.1,2826.5,3156.0,3650.5,3733.0,3810.0,3904.8,4000.3,1156.1,1149.8,1100.2,1125.1,1132.9,1164.7,1202.9,1208.8,1170.1,1079.1,1087.3,1107.3,1122.0,3785.6,3819.2,3805.7,3896.6,3957.0,4150.5,3939.9,3783.1,3857.7,3932.2,4009.6,4093.6
"Hà Tây",2299.0,2328.0,2353.0,2373.6,2391.7,2430.2,2475.5,2527.0,2587.3,2649.1,2702.9,2742.4,2773.7,..,..,..,..,..,..,..,..,..,..,..,..,1091.7,1109.4,1127.4,1143.8,1158.6,1183.8,1205.9,1231.0,1252.7,1276.7,1310.9,1321.7,1336.8,..,..,..,..,..,..,..,..,..,..,..,..,1207.3,1218.6,1225.6,1229.8,1233.1,1246.4,1269.6,1296.0,1334.6,1372.4,1392.0,1420.7,1436.9,..,..,..,..,..,..,..,..,..,..,..,..,162.4,169.8,179.0,184.5,192.5,194.5,203.7,211.2,216.8,270.1,278.6,285.7,291.5,..,..,..,..,..,..,..,..,..,..,..,..,2136.6,2158.2,2174.0,2189.1,2199.2,2235.7,2271.8,2315.8,2370.5,2379.0,2424.3,2456.7,2482.2,..,..,..,..,..,..,..,..,..,..,..,..
"Vĩnh Phúc",1048.2,1061.9,1075.8,1085.7,1094.3,1104.1,1114.1,1124.3,1134.1,1145.2,1157.0,1166.0,1174.1,993.8,1000.4,1007.6,1011.4,1022.4,1029.4,1041.9,1090.4,1106.1,1123.1,1138.4,1154.8,509.2,516.4,523.6,529.3,533.4,537.8,543.1,548.0,557.2,567.1,572.9,577.4,581.4,492.1,494.2,497.6,499.5,504.9,508.4,512.4,536.2,543.9,555.4,563.7,575.5,539.0,545.5,552.2,556.4,560.9,566.3,571.0,576.3,576.9,578.1,584.1,588.6,592.7,501.7,506.2,510.0,511.9,517.5,521.0,529.5,554.2,562.2,567.8,574.6,579.4,79.5,83.8,101.9,106.5,112.5,119.7,121.9,124.6,137.6,160.8,166.7,171.4,206.5,222.9,224.6,231.2,232.8,238.7,243.8,242.9,254.2,257.9,261.7,285.2,295.2,968.7,978.1,973.9,979.2,981.8,984.4,992.2,999.7,996.5,984.4,990.3,994.6,967.6,770.9,775.8,776.4,778.6,783.7,785.6,799.0,836.1,848.3,861.4,853.2,859.6
"Bắc Ninh",916.0,925.3,931.7,937.6,943.0,950.6,958.9,967.6,975.3,983.2,991.1,999.8,1009.4,1018.1,1026.5,1044.2,1063.4,1085.8,1108.2,1131.2,1218.5,1257.9,1297.8,1337.3,1378.6,432.6,439.5,445.4,451.1,456.4,461.6,465.6,469.9,472.0,478.7,481.7,486.8,491.4,498.0,503.9,514.0,522.9,534.1,544.5,556.2,600.4,620.2,640.3,657.8,681.0,483.4,485.8,486.3,486.5,486.6,489.0,493.3,497.7,503.3,504.5,509.4,513.0,518.0,520.1,522.6,530.2,540.5,551.7,563.7,575.0,618.1,637.6,657.4,679.6,697.6,41.3,46.6,58.5,88.0,88.9,96.4,106.8,118.4,131.1,145.1,160.7,178.1,197.4,218.8,241.5,270.2,277.1,282.3,289.3,311.4,336.1,345.5,355.3,365.6,380.9,874.7,878.7,873.2,849.6,854.1,854.2,852.1,849.2,844.2,838.1,830.4,821.7,812.0,799.3,785.0,774.0,786.3,803.4,818.8,819.8,882.4,912.4,942.5,971.7,997.7
"Quảng Ninh",941.7,958.0,974.4,991.4,1007.2,1024.2,1039.3,1054.4,1068.4,1081.8,1096.1,1109.3,1122.5,1135.1,1146.1,1157.2,1168.0,1177.7,1187.5,1199.4,1241.6,1261.2,1285.2,1303.9,1324.8,481.8,490.0,498.1,506.7,514.0,522.5,530.2,537.9,544.0,547.9,557.9,561.9,568.5,577.9,585.0,592.2,599.3,598.8,610.9,601.1,632.4,642.1,654.1,663.4,673.8,459.9,468.0,476.3,484.7,493.2,501.7,509.1,516.5,524.4,533.9,538.2,547.4,554.0,557.2,561.1,565.0,568.7,578.9,576.6,598.3,609.2,619.1,631.1,640.6,651.1,404.1,411.5,426.8,434.4,446.0,473.0,484.6,496.3,507.7,519.0,530.9,542.5,554.2,565.8,594.3,602.1,609.5,724.5,731.2,734.3,733.5,761.5,792.9,822.1,853.7,537.6,546.5,547.6,557.0,561.2,551.2,554.7,558.1,560.7,562.8,565.2,566.8,568.3,569.3,551.8,555.2,558.5,453.2,456.2,465.1,508.1,499.8,492.3,481.8,471.2
"Hải Dương",1609.1,1619.5,1630.5,1641.3,1651.0,1656.9,1662.7,1668.1,1673.7,1680.4,1685.5,1689.7,1694.7,1700.8,1706.8,1716.4,1729.8,1741.7,1751.8,1763.2,1812.8,1832.8,1850.6,1877.7,1896.9,785.0,790.3,795.1,799.1,802.0,800.0,802.5,806.5,809.3,813.0,821.7,824.6,827.7,831.4,835.1,841.1,847.6,853.4,856.9,862.8,895.3,906.6,916.8,931.7,942.7,824.1,829.2,835.4,842.2,849.0,856.9,860.2,861.6,864.4,867.4,863.8,865.1,867.0,869.4,871.7,875.3,882.2,888.3,894.9,900.4,917.5,926.2,933.8,946.0,954.2,133.2,146.4,182.8,224.7,229.3,229.8,230.9,231.6,235.2,259.7,266.4,268.1,278.9,315.4,323.7,361.5,379.2,383.0,388.1,407.4,409.8,426.6,443.6,463.4,594.2,1475.9,1473.1,1447.7,1416.6,1421.7,1427.1,1431.8,1436.5,1438.5,1420.7,1419.1,1421.6,1415.8,1385.4,1383.1,1354.9,1350.6,1358.7,1363.7,1355.8,1403.0,1406.2,1407.0,1414.3,1302.7
"Hải Phòng",1608.2,1625.0,1641.9,1659.5,1676.7,1691.5,1708.6,1725.3,1741.0,1757.8,1773.4,1789.1,1806.5,1824.1,1840.4,1857.8,1879.8,1904.1,1925.2,1946.0,1969.5,1985.3,2001.4,2016.4,2033.3,790.2,799.6,808.9,818.8,827.3,837.3,845.7,854.0,859.0,868.8,876.6,884.3,892.9,903.1,912.6,921.6,932.9,945.3,956.1,966.8,977.7,985.8,994.0,1001.6,1010.2,818.0,825.4,833.0,840.7,849.4,854.2,862.9,871.3,882.0,889.0,896.8,904.8,913.6,921.0,927.8,936.2,946.9,958.8,969.1,979.2,991.8,999.6,1007.4,1014.8,1023.1,524.4,532.2,550.2,558.1,571.8,594.0,618.4,643.6,669.4,696.6,724.4,753.3,784.0,815.9,848.5,859.8,871.3,885.0,897.3,909.1,901.9,908.1,914.4,920.3,926.9,1083.8,1092.8,1091.7,1101.4,1104.9,1097.5,1090.2,1081.7,1071.6,1061.2,1049.0,1035.8,1022.5,1008.2,991.9,998.0,1008.5,1019.1,1027.9,1036.9,1067.6,1077.2,1087.0,1096.2,1106.4
"Hưng Yên",1033.2,1042.6,1052.2,1061.7,1071.4,1079.0,1086.0,1091.5,1097.0,1104.3,1111.0,1116.4,1121.3,1126.2,1128.6,1132.3,1138.4,1144.1,1151.6,1158.1,1202.0,1215.5,1228.8,1242.4,1255.8,496.1,501.6,506.6,512.4,517.6,521.0,524.4,527.1,532.5,533.9,538.8,539.8,542.1,544.3,552.9,556.2,560.8,564.8,568.9,571.1,596.5,604.7,613.2,620.6,628.7,537.1,541.0,545.6,549.3,553.8,558.0,561.6,564.4,564.5,570.4,572.2,576.6,579.2,581.9,575.7,576.0,577.6,579.3,582.7,587.0,605.5,610.8,615.6,621.8,627.1,23.5,41.0,78.8,90.4,93.4,103.6,107.1,110.7,114.3,118.2,122.2,126.2,130.2,134.4,136.3,139.6,144.1,148.6,150.0,151.8,146.1,147.9,149.5,151.5,207.3,1009.7,1001.6,973.4,971.3,978.0,975.4,978.9,980.8,982.7,986.1,988.8,990.2,991.1,991.8,992.3,992.7,994.3,995.5,1001.6,1006.2,1055.9,1067.6,1079.3,1090.9,1048.5
"Thái Bình",1752.3,1761.0,1769.5,1778.5,1788.1,1789.4,1790.3,1790.9,1790.9,1791.2,1790.5,1787.4,1783.9,1782.7,1783.1,1784.7,1785.9,1787.4,1788.1,1788.7,1830.3,1838.1,1846.1,1854.1,1862.2,834.7,839.9,844.7,850.2,854.7,854.9,855.3,855.6,859.7,860.7,859.3,858.9,857.2,859.3,860.8,861.7,868.1,865.2,865.2,865.1,888.0,892.5,897.1,901.8,906.4,917.6,921.1,924.8,928.3,933.4,934.5,935.0,935.3,931.2,930.5,931.2,928.5,926.7,923.4,922.3,923.0,917.8,922.2,922.9,923.6,942.3,945.6,949.0,952.4,955.7,96.3,97.5,100.4,101.6,103.8,103.5,103.8,132.5,133.3,134.1,135.0,135.7,136.6,174.4,173.3,178.5,178.6,178.7,178.8,179.0,187.2,189.6,192.0,194.5,197.0,1656.0,1663.5,1669.1,1676.9,1684.3,1685.9,1686.5,1658.4,1657.6,1657.1,1655.5,1651.7,1647.3,1608.3,1609.8,1606.2,1607.3,1608.7,1609.3,1609.7,1643.2,1648.5,1654.1,1659.6,1665.2
"Hà Nam",763.7,771.6,779.4,786.6,792.5,793.8,793.2,792.8,792.3,791.9,791.3,790.0,788.4,786.9,786.2,786.3,786.9,792.2,796.0,799.4,824.3,832.2,839.8,847.1,854.5,371.9,375.8,379.2,382.3,385.3,385.2,385.0,384.8,385.2,383.6,382.7,382.9,382.2,382.4,383.9,384.0,384.3,388.2,391.6,394.2,404.5,408.7,412.8,416.7,420.6,391.8,395.8,400.2,404.3,407.2,408.6,408.2,408.0,407.1,408.3,408.6,407.1,406.2,404.5,402.3,402.3,402.5,404.0,404.4,405.2,419.8,423.5,427.0,430.4,433.8,56.0,57.6,60.9,62.3,62.6,49.7,52.2,54.8,57.6,60.5,63.6,66.8,70.0,73.5,74.9,82.2,82.4,83.4,122.7,123.5,133.0,135.6,138.2,140.8,143.3,707.7,714.0,718.5,724.3,729.9,744.1,741.0,738.0,734.7,731.4,727.7,723.2,718.4,713.4,711.3,704.1,704.5,708.8,673.3,675.8,691.2,696.6,701.5,706.4,711.2
"Nam Ðịnh",1820.5,1838.0,1856.2,1874.4,1891.9,1886.5,1879.7,1872.8,1866.3,1859.4,1851.0,1839.4,1829.7,1826.1,1828.4,1830.0,1833.5,1835.1,1839.9,1845.6,1796.9,1792.5,1788.2,1784.2,1780.9,884.1,893.5,902.0,912.9,921.0,917.9,914.6,911.3,908.5,907.2,901.4,897.4,892.6,887.0,894.6,895.5,897.0,897.9,901.3,904.2,878.9,876.9,875.1,873.5,872.5,936.4,944.5,954.2,961.5,970.9,968.6,965.1,961.5,957.8,952.2,949.6,942.0,937.1,939.1,933.8,934.5,936.5,937.2,938.6,941.4,918.0,915.5,913.1,910.7,908.4,220.3,221.8,229.9,231.3,235.1,240.1,248.2,256.5,265.2,274.1,283.1,291.9,301.2,311.9,321.6,326.2,329.5,331.4,333.3,335.9,317.5,317.0,316.5,324.1,323.7,1600.2,1616.2,1626.3,1643.1,1656.8,1646.4,1631.5,1616.3,1601.1,1585.3,1567.9,1547.5,1528.5,1514.2,1506.8,1503.8,1504.0,1503.7,1506.7,1509.7,1479.4,1475.4,1471.7,1460.2,1457.1
"Ninh Bình",855.5,866.0,874.2,881.1,885.0,886.8,888.7,889.9,890.9,892.2,893.5,894.6,896.1,898.1,899.6,901.7,907.7,919.1,927.2,935.8,948.5,956.8,965.4,974.7,984.5,409.4,415.3,421.2,426.4,429.3,434.0,435.0,435.6,435.7,436.0,436.3,436.7,440.9,444.3,446.9,448.4,451.9,457.9,461.4,458.8,471.9,476.2,480.6,485.3,490.4,446.1,450.7,453.0,454.7,455.7,452.8,453.7,454.3,455.2,456.2,457.2,457.9,455.2,453.8,452.7,453.3,455.8,461.3,465.8,477.0,476.6,480.7,484.8,489.3,494.1,77.3,78.4,111.0,111.9,112.4,116.5,120.8,125.2,129.7,134.4,139.3,144.4,149.6,155.2,160.9,171.2,172.4,175.2,180.6,184.2,184.4,189.0,195.1,201.2,207.8,778.2,787.6,763.2,769.2,772.6,770.3,767.9,764.7,761.2,757.8,754.2,750.2,746.5,742.9,738.7,730.5,735.3,743.9,746.6,751.6,764.1,767.8,770.4,773.4,776.7
"Trung du và miền núi phía Bắc",9522.9,9679.7,9820.8,9951.2,10085.3,10204.4,10321.8,10440.0,10559.5,10681.0,10798.7,10904.3,11004.2,10997.3,11073.5,11184.3,11300.8,11417.5,11536.4,11667.5,11907.0,12061.1,12230.8,12404.9,12569.3,4701.6,4788.6,4863.6,4934.5,5007.4,5064.1,5122.4,5181.2,5240.4,5307.3,5362.1,5419.5,5469.3,5459.1,5517.9,5609.6,5632.2,5689.0,5738.9,5812.8,5959.8,6042.2,6134.8,6227.0,6315.3,4821.3,4891.1,4957.2,5016.7,5077.9,5140.3,5199.4,5258.8,5319.1,5373.7,5436.6,5484.8,5534.9,5538.2,5555.6,5574.7,5668.7,5728.4,5797.5,5854.7,5947.2,6018.9,6095.9,6177.9,6254.0,1201.7,1227.4,1325.3,1362.6,1379.0,1430.4,1463.8,1499.9,1559.6,1602.7,1649.1,1687.9,1721.1,1751.1,1770.4,1842.8,1933.1,1961.1,2011.5,2072.4,2122.3,2155.2,2193.3,2233.6,2284.3,8321.2,8452.3,8495.5,8588.6,8706.3,8774.0,8858.0,8940.1,8999.9,9078.3,9149.6,9216.4,9283.1,9246.2,9303.1,9341.5,9367.8,9456.4,9524.9,9595.1,9784.7,9905.9,10037.4,10171.3,10285.0
"Hà Giang",550.3,564.2,577.7,590.4,605.9,619.2,631.6,643.9,656.2,669.0,681.7,693.4,704.9,716.2,725.1,733.8,746.6,761.6,775.8,788.8,806.7,820.4,833.7,846.5,858.1,272.0,278.9,284.7,290.9,300.0,306.5,312.7,318.7,324.9,331.2,337.5,343.6,349.0,354.6,363.1,366.6,372.9,380.7,389.0,395.1,406.2,413.0,420.2,427.2,433.6,278.3,285.3,293.0,299.5,305.9,312.7,318.9,325.2,331.3,337.8,344.2,349.8,355.9,361.6,362.0,367.1,373.7,380.9,386.8,393.7,400.5,407.4,413.5,419.4,424.5,48.5,49.9,52.2,53.2,51.8,66.3,68.5,70.8,73.0,75.4,77.8,80.1,82.5,84.9,91.6,104.7,112.3,114.7,117.1,118.6,120.9,123.0,125.2,127.6,137.2,501.8,514.3,525.5,537.2,554.1,552.9,563.1,573.1,583.2,593.6,603.9,613.3,622.4,631.3,633.5,629.1,634.3,646.9,658.7,670.2,685.8,697.4,708.5,718.9,720.9
"Cao Bằng",489.2,489.4,490.0,490.5,492.1,493.9,496.2,498.7,500.8,502.8,504.9,506.8,508.6,510.5,511.2,513.1,514.0,515.2,517.9,520.2,522.0,524.2,526.4,528.7,530.9,237.2,237.3,237.5,237.8,238.6,241.3,242.4,243.6,244.4,246.8,247.4,248.8,249.7,250.6,253.7,254.5,254.8,255.2,256.4,257.5,260.5,261.9,263.2,264.6,265.9,252.0,252.1,252.5,252.7,253.5,252.6,253.8,255.1,256.4,256.0,257.5,258.0,258.9,259.9,257.5,258.6,259.2,260.0,261.5,262.7,261.5,262.3,263.2,264.1,264.9,50.7,51.2,52.8,53.3,54.0,66.9,67.4,68.1,68.6,68.9,74.2,79.5,79.9,87.6,86.4,87.0,113.1,119.3,119.8,120.3,108.6,111.5,115.5,119.9,124.5,438.5,438.2,437.2,437.2,438.1,427.0,428.8,430.6,432.2,433.9,430.7,427.3,428.7,422.9,424.8,426.1,400.9,395.9,398.1,399.8,413.3,412.8,410.9,408.8,406.3
"Bắc Kạn",254.2,259.6,265.2,270.9,276.4,278.4,280.5,282.5,284.4,286.5,288.4,290.0,291.8,293.6,294.6,297.5,300.4,303.0,305.2,307.3,305.6,307.7,309.9,312.0,314.4,126.9,129.7,132.5,135.4,138.1,139.1,140.1,141.1,142.1,143.5,144.1,145.2,146.1,147.7,148.5,150.3,152.2,153.3,154.9,154.4,155.1,156.4,157.7,159.0,160.3,127.3,129.9,132.7,135.5,138.3,139.3,140.4,141.4,142.3,143.0,144.3,144.8,145.7,145.9,146.1,147.2,148.3,149.7,150.3,152.9,150.5,151.3,152.2,153.1,154.1,33.5,34.9,37.0,38.4,40.3,39.9,40.8,41.6,42.5,43.4,44.2,45.1,46.0,46.9,47.3,48.0,48.8,49.1,49.7,50.6,57.5,59.4,61.4,63.5,65.6,220.7,224.7,228.2,232.5,236.1,238.5,239.7,240.9,241.9,243.1,244.2,244.9,245.8,246.7,247.3,249.5,251.7,253.9,255.5,256.7,248.2,248.3,248.5,248.6,248.7
"Tuyên Quang",638.8,648.9,659.0,668.0,677.3,684.1,690.2,696.3,701.9,707.5,712.1,715.7,719.4,723.5,725.2,729.3,734.9,740.8,747.2,753.8,756.2,763.4,770.5,778.3,786.3,316.9,321.7,326.4,330.8,335.0,338.2,341.2,344.2,347.0,350.3,352.0,354.4,356.3,357.5,363.3,365.3,368.3,370.6,373.1,374.5,380.0,383.8,387.6,391.7,395.9,321.9,327.2,332.6,337.2,342.3,345.9,349.0,352.1,354.9,357.2,360.1,361.3,363.1,366.0,361.9,364.1,366.6,370.2,374.1,379.3,376.2,379.6,382.9,386.6,390.3,67.4,69.5,71.9,73.3,60.7,64.4,67.3,70.3,73.4,76.6,79.8,83.1,86.5,90.1,94.3,95.4,96.1,97.4,99.2,100.9,102.0,103.6,105.2,106.9,108.6,571.4,579.4,587.1,594.7,616.6,619.7,622.9,626.0,628.5,630.9,632.3,632.6,632.9,633.4,630.9,634.0,638.8,643.4,648.0,652.8,654.2,659.8,665.3,671.5,677.6
"Lào Cai",550.1,562.8,574.5,585.9,598.5,607.4,616.6,625.7,634.2,573.9,581.4,590.2,598.3,606.5,615.8,626.8,637.0,646.5,655.9,665.2,684.5,696.5,708.6,720.8,733.3,275.0,281.5,287.2,292.9,298.8,303.3,307.6,312.1,316.0,285.7,289.4,294.5,299.2,304.5,309.9,315.6,320.5,325.3,329.5,336.6,346.6,353.0,359.5,366.1,372.9,275.1,281.3,287.3,293.0,299.7,304.1,309.0,313.6,318.2,288.2,292.0,295.7,299.1,302.0,305.9,311.2,316.5,321.2,326.4,328.6,337.9,343.4,349.0,354.7,360.4,94.2,97.6,101.5,102.0,103.7,103.2,105.1,106.9,108.7,112.2,119.9,123.0,125.9,129.1,130.4,133.3,143.3,146.1,149.5,152.0,157.2,159.8,162.0,167.0,171.5,455.9,465.2,473.0,483.9,494.8,504.2,511.5,518.8,525.5,461.7,461.5,467.2,472.4,477.4,485.4,493.5,493.7,500.5,506.4,513.2,527.2,536.6,546.6,553.8,561.8
"Yên Bái",647.7,655.9,664.5,673.1,682.1,688.0,694.1,700.1,706.8,713.5,719.5,725.4,731.6,737.5,741.7,751.3,758.6,765.7,774.6,783.5,793.1,800.3,807.3,814.6,823.0,322.7,327.1,331.5,336.0,340.4,343.2,346.5,349.2,352.2,355.5,358.1,360.5,363.7,367.7,370.7,375.7,378.8,381.6,386.1,390.8,397.8,401.7,405.6,409.5,414.1,325.0,328.8,333.0,337.1,341.7,344.8,347.6,350.9,354.6,358.0,361.4,364.9,367.9,369.8,371.0,375.6,379.8,384.1,388.5,392.7,395.3,398.7,401.7,405.0,409.0,123.4,123.9,126.7,132.0,133.8,135.0,136.0,137.2,138.6,140.6,141.5,142.6,143.2,143.5,144.2,146.7,148.3,149.9,152.0,160.4,158.0,159.2,160.5,161.9,163.3,524.3,532.0,537.8,541.1,548.3,553.0,558.1,562.9,568.2,572.9,578.0,582.8,588.4,594.0,597.5,604.6,610.4,615.7,622.6,623.1,635.1,641.1,646.8,652.7,659.8
"Thái Nguyên",1005.0,1020.6,1029.6,1038.5,1047.8,1055.5,1063.6,1071.0,1079.5,1089.0,1098.5,1106.5,1113.0,1120.3,1125.4,1131.3,1139.4,1149.1,1156.0,1173.2,1230.8,1242.8,1256.1,1273.6,1290.9,492.6,500.0,507.3,514.9,522.2,525.9,529.9,533.6,538.0,544.3,549.4,553.8,556.3,558.4,556.5,588.9,561.7,566.4,569.8,578.3,602.3,608.2,615.5,623.3,631.1,512.4,520.6,522.3,523.6,525.6,529.6,533.7,537.4,541.5,544.7,549.1,552.7,556.7,561.9,568.9,542.4,577.8,582.7,586.2,594.9,628.5,634.6,640.7,650.3,659.9,201.0,204.3,210.0,212.0,219.9,233.9,239.5,245.1,251.1,257.4,263.9,270.1,276.1,282.4,287.8,293.6,322.2,326.9,344.2,355.1,387.8,392.5,399.4,405.2,413.9,804.0,816.3,819.6,826.5,827.9,821.6,824.1,825.9,828.4,831.6,834.6,836.4,836.9,837.9,837.6,837.7,817.2,822.2,811.8,818.1,843.0,850.3,856.7,868.3,877.1
